City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Purificacion,CO,80.87,broken clouds,3.8587,-74.9313,Hotel Villa de las Palmas
1,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
2,Bengkulu,ID,79.66,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
5,Khipro,PK,85.26,overcast clouds,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
9,Maumere,ID,83.61,broken clouds,-8.6199,122.2111,Sylvia Hotel
13,Kieta,PG,84.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
15,Gashua,NG,82.54,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
16,Bourail,NC,75.92,clear sky,-21.5667,165.4833,Motel Allamanda
18,Pangkalanbuun,ID,86.77,light rain,-2.6833,111.6167,Grand Kecubung Hotel
19,Sumter,US,79.74,light rain,28.7086,-82.0831,Paradise Oaks RV Resort
21,Auki,SB,84.94,scattered clouds,-8.7676,160.7034,Auki Motel
33,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
34,Esqueda,MX,79.59,few clouds,30.7167,-109.5833,Hotel Esqueda
38,Les Cayes,HT,78.58,scattered clouds,18.2,-73.75,Villa Orphee
40,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
42,Weligama,LK,80.98,overcast clouds,5.9667,80.4167,Weligama Bay Resort
45,Karratha,AU,85.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
56,Naze,JP,81.52,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
57,Big Spring,US,87.28,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
60,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
61,Hithadhoo,MV,83.14,broken clouds,-0.6,73.0833,Scoop Guest House
73,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
74,Arlit,NE,88.97,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
82,Avarua,CK,78.85,clear sky,-21.2078,-159.775,Paradise Inn
83,Bubaque,GW,81.05,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
88,Mahon,ES,75.76,few clouds,39.8885,4.2658,ARTIEM Capri
89,Mahina,PF,80.37,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
91,Harper,LR,76.62,light rain,4.375,-7.7169,Screensaver
94,Sidrolandia,BR,84.99,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
96,Yorkton,CA,75.04,clear sky,51.2167,-102.4677,Redwood Motel
99,Hilo,US,80.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
102,Corpus Christi,US,86.83,few clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
105,Victoria,HK,89.96,broken clouds,22.2855,114.1577,Mini Hotel Central
109,Pierre,US,83.86,clear sky,44.3683,-100.351,Ramkota Hotel
111,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
113,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
117,Vinh,VN,83.89,scattered clouds,18.6667,105.6667,Khách Sạn Thương Mại
119,Brigantine,US,77.02,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
121,Ballina,AU,77.18,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
122,Saint George,US,79.39,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
123,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
125,Pakxan,LA,83.14,few clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
127,Butaritari,KI,82.8,few clouds,3.0707,172.7902,Isles Sunset Lodge
128,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
129,Marsh Harbour,BS,82.94,few clouds,26.5412,-77.0636,Abaco Beach Resort
130,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
131,Virginia Beach,US,76.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
132,Pathein,MM,81.43,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
133,Port Blair,IN,82.54,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
136,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
141,Camocim,BR,78.17,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
142,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
143,Govindgarh,IN,77.9,few clouds,27.5,76.9833,Manoj Rajput
147,Clarence Town,AU,75.34,clear sky,-32.5833,151.7833,River Downs Cottage
