City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2021-09-17 00:03:19,-0.6,73.0833,83.23,72,100,9.57
1,Buchanan,LR,2021-09-17 00:03:19,5.8808,-10.0467,76.44,87,90,5.5
2,Cape Town,ZA,2021-09-17 00:03:20,-33.9258,18.4232,55.89,77,0,4.0
3,Acarau,BR,2021-09-17 00:00:10,-2.8856,-40.12,79.21,84,0,16.98
4,Bundu,IN,2021-09-17 00:03:20,23.1833,85.5833,72.97,94,100,4.43
5,Punta Arenas,CL,2021-09-17 00:02:11,-53.15,-70.9167,35.98,98,100,4.16
6,Pevek,RU,2021-09-17 00:03:21,69.7008,170.3133,31.23,75,100,19.06
7,Tuktoyaktuk,CA,2021-09-17 00:03:21,69.4541,-133.0374,49.75,69,70,9.93
8,Nikolskoye,RU,2021-09-17 00:03:22,59.7035,30.7861,41.02,93,43,1.34
9,Huilong,CN,2021-09-17 00:03:22,31.8111,121.655,72.99,81,42,12.57
10,Tarabuco,BO,2021-09-17 00:03:23,-19.1667,-64.9167,49.93,72,79,5.26
11,Faanui,PF,2021-09-17 00:03:23,-16.4833,-151.75,79.03,69,2,21.12
12,Verkhnyaya Inta,RU,2021-09-17 00:03:24,65.9811,60.3094,35.37,87,98,13.2
13,Eureka,US,2021-09-17 00:03:24,40.8021,-124.1637,62.2,69,2,7.0
14,Port Blair,IN,2021-09-17 00:03:25,11.6667,92.75,78.15,85,90,7.05
15,Vestmannaeyjar,IS,2021-09-17 00:03:26,63.4427,-20.2734,50.88,88,100,19.82
16,Yellowknife,CA,2021-09-17 00:03:26,62.456,-114.3525,46.4,42,38,5.66
17,Rikitea,PF,2021-09-17 00:03:27,-23.1203,-134.9692,74.01,70,58,15.59
18,Ushuaia,AR,2021-09-17 00:03:27,-54.8,-68.3,35.26,69,40,3.44
19,Ocumare Del Tuy,VE,2021-09-17 00:01:33,10.1165,-66.7761,72.93,95,100,1.79
20,Chiplun,IN,2021-09-17 00:03:28,17.5333,73.5167,72.77,95,94,2.55
21,Albany,US,2021-09-17 00:02:13,42.6001,-73.9662,70.61,87,31,1.03
22,Betanzos,ES,2021-09-17 00:03:29,43.2804,-8.2147,63.09,91,0,1.99
23,Puli,TW,2021-09-17 00:02:12,23.9664,120.9695,78.8,76,42,1.54
24,Cruces,CU,2021-09-17 00:03:29,22.3411,-80.2667,71.6,84,51,3.11
25,Bredasdorp,ZA,2021-09-17 00:03:30,-34.5322,20.0403,49.28,84,8,4.47
26,Dikson,RU,2021-09-17 00:03:30,73.5069,80.5464,35.08,76,100,17.09
27,Mangan,IN,2021-09-17 00:00:23,27.5167,88.5333,73.42,94,100,2.04
28,Hasaki,JP,2021-09-17 00:03:31,35.7333,140.8333,70.2,65,100,9.78
29,Carnarvon,AU,2021-09-17 00:03:31,-24.8667,113.6333,59.65,56,31,19.71
30,Hovd,MN,2021-09-17 00:03:32,48.0056,91.6419,54.99,42,83,6.22
31,Whitecourt,CA,2021-09-17 00:00:41,54.1502,-115.6855,53.92,41,74,7.76
32,Deputatskiy,RU,2021-09-17 00:03:32,69.3,139.9,41.65,76,100,1.86
33,Mareeba,AU,2021-09-17 00:03:33,-17.0,145.4333,77.49,62,29,9.13
34,Saint-Joseph,RE,2021-09-17 00:03:33,-21.3667,55.6167,68.36,79,22,3.02
35,Kesova Gora,RU,2021-09-17 00:03:34,57.5836,37.2922,39.99,79,100,4.88
36,Kodiak,US,2021-09-17 00:03:34,57.79,-152.4072,51.31,93,90,14.97
37,Marienburg,PL,2021-09-17 00:03:35,54.0359,19.0266,61.84,86,98,3.71
38,Progreso,MX,2021-09-17 00:03:24,21.2833,-89.6667,89.71,80,81,8.88
39,Ixtapa,MX,2021-09-17 00:03:35,20.7,-105.2,78.22,100,90,5.75
40,Upernavik,GL,2021-09-17 00:03:36,72.7868,-56.1549,26.64,67,100,4.76
41,Castro,BR,2021-09-17 00:01:40,-24.7911,-50.0119,53.87,97,100,8.79
42,Alem Paraiba,BR,2021-09-17 00:03:37,-21.8878,-42.7044,75.74,78,96,3.91
43,Cidreira,BR,2021-09-17 00:03:37,-30.1811,-50.2056,59.76,68,79,14.56
44,Qaanaaq,GL,2021-09-17 00:03:37,77.484,-69.3632,19.74,83,99,4.81
45,Khatanga,RU,2021-09-17 00:03:38,71.9667,102.5,31.68,89,100,4.61
46,Constitucion,CL,2021-09-17 00:00:56,-35.3333,-72.4167,50.95,87,0,13.44
47,Bac Lieu,VN,2021-09-17 00:03:39,9.285,105.7244,79.27,80,100,2.53
48,Arraial Do Cabo,BR,2021-09-17 00:03:33,-22.9661,-42.0278,69.93,92,100,18.75
49,Daru,PG,2021-09-17 00:03:39,-9.0763,143.2092,77.61,77,100,20.04
50,Ponta Do Sol,PT,2021-09-17 00:03:40,32.6667,-17.1,74.03,68,24,6.55
51,Pisco,PE,2021-09-17 00:01:42,-13.7,-76.2167,61.02,85,10,2.53
52,Rubio,VE,2021-09-17 00:03:41,7.7013,-72.3557,68.74,92,90,4.21
53,Petropavlovka,RU,2021-09-17 00:03:41,50.6114,105.3196,51.73,72,88,2.66
54,New Norfolk,AU,2021-09-17 00:03:41,-42.7826,147.0587,54.91,62,30,1.99
55,Ilulissat,GL,2021-09-17 00:03:42,69.2167,-51.1,21.22,63,0,4.61
56,Sovetskiy,RU,2021-09-17 00:00:13,61.3614,63.5842,38.82,97,100,14.81
57,Poum,NC,2021-09-17 00:03:43,-20.2333,164.0167,70.47,56,22,17.31
58,Grand Gaube,MU,2021-09-17 00:03:43,-20.0064,57.6608,69.39,89,10,3.0
59,Thompson,CA,2021-09-17 00:03:43,55.7435,-97.8558,48.36,87,90,2.3
60,Busselton,AU,2021-09-17 00:03:44,-33.65,115.3333,52.66,69,75,5.41
61,Bluff,NZ,2021-09-17 00:03:44,-46.6,168.3333,45.81,53,83,13.15
62,Acapulco,MX,2021-09-17 00:00:24,16.8634,-99.8901,84.02,74,90,2.3
63,San Quintin,MX,2021-09-17 00:03:45,30.4833,-115.95,71.17,69,0,15.26
64,Lethem,GY,2021-09-17 00:03:45,3.3803,-59.7968,79.61,71,65,2.51
65,Souillac,MU,2021-09-17 00:03:46,-20.5167,57.5167,69.37,86,2,6.8
66,Hermanus,ZA,2021-09-17 00:03:46,-34.4187,19.2345,49.8,75,40,8.16
67,Torre-Pacheco,ES,2021-09-17 00:02:43,37.7429,-0.954,75.54,86,0,3.44
68,Leningradskiy,RU,2021-09-17 00:03:47,69.3833,178.4167,30.99,76,91,7.81
69,Ambalavao,MG,2021-09-17 00:03:48,-21.8333,46.9333,57.13,87,13,1.39
70,Santa Cruz,BO,2021-09-17 00:00:19,-17.8,-63.1667,73.96,39,39,3.29
71,Flinders,AU,2021-09-17 00:03:48,-34.5833,150.8552,68.05,63,3,5.99
72,Havoysund,NO,2021-09-17 00:03:49,70.9963,24.6622,43.68,69,100,14.45
73,Bernalillo,US,2021-09-17 00:02:18,35.05,-106.6673,92.68,12,20,1.01
74,Noumea,NC,2021-09-17 00:00:09,-22.2763,166.4572,73.38,57,53,10.04
75,Taoudenni,ML,2021-09-17 00:03:49,22.6783,-3.9836,96.4,22,79,10.02
76,Bengkulu,ID,2021-09-17 00:02:42,-3.8004,102.2655,75.85,86,15,3.8
77,Morvi,IN,2021-09-17 00:03:50,22.8167,70.8333,79.05,93,92,11.74
78,Dunedin,NZ,2021-09-17 00:00:10,-45.8742,170.5036,44.67,58,95,6.69
79,Mayo,US,2021-09-17 00:03:50,38.8876,-76.5119,75.16,91,90,10.0
80,Tromso,NO,2021-09-17 00:03:51,69.6496,18.957,39.22,87,20,1.14
81,East London,ZA,2021-09-17 00:03:51,-33.0153,27.9116,57.07,63,64,14.7
82,Quelimane,MZ,2021-09-17 00:03:52,-17.8786,36.8883,72.86,92,20,5.64
83,Kapaa,US,2021-09-17 00:03:52,22.0752,-159.319,84.52,73,1,3.0
84,Georgetown,MY,2021-09-17 00:00:06,5.4112,100.3354,80.89,82,20,3.44
85,Vaini,TO,2021-09-17 00:03:53,-21.2,-175.2,76.46,80,10,12.88
86,Gari,RU,2021-09-17 00:03:53,59.4307,62.3497,39.88,98,100,9.15
87,Cabo San Lucas,MX,2021-09-17 00:01:36,22.8909,-109.9124,90.61,78,47,9.62
88,Chokurdakh,RU,2021-09-17 00:03:54,70.6333,147.9167,41.5,77,99,2.15
89,Roebourne,AU,2021-09-17 00:03:54,-20.7833,117.1333,73.4,30,48,12.57
90,Verkhoyansk,RU,2021-09-17 00:03:55,67.5447,133.385,51.22,64,100,3.91
91,Gat,IL,2021-09-17 00:03:55,31.61,34.7642,72.39,72,0,0.72
92,Hilo,US,2021-09-17 00:00:52,19.7297,-155.09,85.28,84,91,1.01
93,Saskylakh,RU,2021-09-17 00:03:56,71.9167,114.0833,33.62,97,100,19.17
94,Necochea,AR,2021-09-17 00:03:56,-38.5473,-58.7368,58.03,76,0,10.78
95,Esperance,AU,2021-09-17 00:03:57,-33.8667,121.9,48.04,77,99,17.94
96,Saldanha,ZA,2021-09-17 00:03:58,-33.0117,17.9442,53.91,74,0,17.16
97,Portree,GB,2021-09-17 00:03:58,57.4129,-6.1942,59.52,93,100,9.04
98,Bosobolo,CD,2021-09-17 00:03:59,4.1833,19.9,68.27,98,100,3.71
99,Butaritari,KI,2021-09-17 00:03:59,3.0707,172.7902,82.4,76,33,15.95
100,Barrow,US,2021-09-17 00:00:04,71.2906,-156.7887,32.23,97,100,13.65
101,Vezirkopru,TR,2021-09-17 00:04:00,41.1436,35.4547,59.49,91,99,2.42
102,Sisimiut,GL,2021-09-17 00:04:01,66.9395,-53.6735,34.14,57,73,7.99
103,Saint-Philippe,RE,2021-09-17 00:04:01,-21.3585,55.7679,69.35,82,43,6.82
104,Port Alfred,ZA,2021-09-17 00:04:01,-33.5906,26.891,54.23,76,41,16.06
105,Suntar,RU,2021-09-17 00:04:02,62.1444,117.6319,40.78,80,100,6.13
106,Kaitangata,NZ,2021-09-17 00:04:02,-46.2817,169.8464,45.61,53,98,7.58
107,Avarua,CK,2021-09-17 00:04:02,-21.2078,-159.775,75.25,88,75,23.02
108,Padang,ID,2021-09-17 00:04:03,-0.9492,100.3543,73.45,84,63,3.83
109,Meulaboh,ID,2021-09-17 00:04:04,4.1363,96.1285,75.78,86,83,4.09
110,Manyana,BW,2021-09-17 00:04:04,-23.4,21.7167,49.19,18,3,9.31
111,Chipinge,ZW,2021-09-17 00:04:04,-20.1883,32.6236,61.16,70,27,4.12
112,Vanimo,PG,2021-09-17 00:04:05,-2.6741,141.3028,82.94,68,69,7.43
113,Hobart,AU,2021-09-17 00:03:17,-42.8794,147.3294,55.26,63,20,1.99
114,Bereda,ES,2021-09-17 00:04:05,43.2686,-7.5406,57.0,100,18,0.65
115,Puerto Ayora,EC,2021-09-17 00:04:06,-0.7393,-90.3518,67.55,96,64,1.99
116,Olafsvik,IS,2021-09-17 00:04:06,64.8945,-23.7142,44.51,81,85,21.07
117,Yulara,AU,2021-09-17 00:04:07,-25.2406,130.9889,71.82,32,99,9.91
118,Gambo,CF,2021-09-17 00:04:08,4.6482,22.2633,69.17,99,100,1.39
119,Atuona,PF,2021-09-17 00:04:08,-9.8,-139.0333,77.18,79,15,15.46
120,Lompoc,US,2021-09-17 00:04:09,34.6391,-120.4579,72.57,75,1,11.5
121,La Ronge,CA,2021-09-17 00:04:09,55.1001,-105.2842,38.77,96,100,17.85
122,Geraldton,AU,2021-09-17 00:04:10,-28.7667,114.6,54.01,87,75,0.0
123,Nichlaul,IN,2021-09-17 00:04:10,27.3167,83.7333,73.81,92,100,13.98
124,Wajid,SO,2021-09-17 00:04:11,3.8093,43.2471,74.62,70,23,16.67
125,Airai,TL,2021-09-17 00:04:11,-8.9266,125.4092,70.86,33,63,4.43
126,Jamestown,US,2021-09-16 23:59:59,42.097,-79.2353,70.02,80,31,5.01
